SchemeCode,SchemeName,NAV,NAVDate
113566,BNP Paribas Mid Cap Fund-Growth Option,26.498,2016-07-13 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,26.67,2016-07-14 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,26.683,2016-07-15 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,26.453,2016-07-18 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,26.595,2016-07-19 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,26.804,2016-07-20 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,26.872,2016-07-21 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,27.073,2016-07-22 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,27.239,2016-07-25 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,27.046,2016-07-26 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,27.13,2016-07-27 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,27.318,2016-07-28 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,27.596,2016-07-29 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,27.604,2016-08-01 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,27.425,2016-08-02 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,27.158,2016-08-03 00:00:00
113566,BNP Paribas Mid Cap Fund-Growth Option,27.183,2016-08-04 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,504.59,2015-08-03 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,505.65,2015-08-04 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,509.31,2015-08-05 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,510.16,2015-08-06 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,508.43,2015-08-07 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,506.55,2015-08-10 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,503.9,2015-08-11 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,496.85,2015-08-12 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,497.11,2015-08-13 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,506.58,2015-08-14 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,506.32,2015-08-17 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,507.13,2015-08-18 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,509.51,2015-08-19 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,501.71,2015-08-20 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,498.18,2015-08-21 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,465.21,2015-08-24 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,471.89,2015-08-25 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,467.07,2015-08-26 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,475.95,2015-08-27 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,477.96,2015-08-28 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,478.16,2015-08-31 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,468.2,2015-09-01 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,466.22,2015-09-02 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,473.17,2015-09-03 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,463.03,2015-09-04 00:00:00
103166,Birla Sun Life Equity Fund - Growth - Regular Plan,454.44,2015-09-07 00:00:00
